   5.1027970813917953e+01   2.5795502682328695e+00
   8.0700617965861198e+01   6.4103848394239265e+00
   8.4742366511782151e+01   9.0130730424638674e+00
   7.7429057991275116e+01   1.3669289747364965e+01
   6.9849796955492806e+01   1.8396253174455008e+01
   5.3037650094715666e+01   2.1442674733780002e+01
   3.6427352617438103e+01   2.5013654999126569e+01
   2.3078919751600743e+01   2.2198456733272518e+01
   1.6777993664428319e+01   1.7740046362716246e+01
   3.2503301130011160e+01   1.5075966104699976e+01
   4.9092267816825562e+01   1.5365687554041749e+01
   5.7644591974583911e+01   1.5305169201331983e+01
   5.7338041388363010e+01   2.0403709524110930e+01
